accepted_name,coevol_name,mean_gs,mean_height,mean_sla,mean_seed
Angophora_costata,A_costata,0.83,17.75,51.535,16.54
Angophora_floribunda,A_floribunda,0.826666667,17.61111111,62.99166667,14.12
Corymbia_exima,C_exima,0.89,20,45.39,19.6
Corymbia_gummifera,C_gummifera,0.89862069,14.39473684,45.225,34.22521739
Corymbia_maculata,C_maculata,0.9,45,52.59,8.64
Corymbia_tessellaris,C_tessellaris,0.913333333,20.97777778,54.186,16.44428571
Eucalyptus_aromaphloia,E_aromaphloia,1.2,16.5,49.78,1.27
Eucalyptus_baxteri,E_baxteri,1.14,37.5,37.235,8.270933333
Eucalyptus_camaldulensis,E_camaldulensis,1.197017483,16.71693122,47.93960784,2.221953913
Eucalyptus_cladocalyx,E_cladocalyx,1.206666667,22.5,29.915,3.2355
Eucalyptus_cloeziana,E_cloeziana,1.04,55,69.62,1.53
Eucalyptus_curtisii,E_curtisii,0.92,7,50.01,0.83
Eucalyptus_deglupta,E_deglupta,NA,20,NA,0.99
Eucalyptus_delegatensis,E_delegatensis,1.11,39.75,NA,4.6972
Eucalyptus_diversicolor,E_diversicolor,1.247470238,9.267857143,32.26522727,6.132811358
Eucalyptus_diversifolia,E_diversifolia,1.080833333,5.638888889,32.66833333,9.2436325
Eucalyptus_elata,E_elata,1.08,40,67.64,3.8
Eucalyptus_erythrocorys,E_erythrocorys,1.196333333,12.18181818,34.38428571,12.94050533
Eucalyptus_globulus,E_globulus,1.23,52.5,44.52,12.57
Eucalyptus_grandis,E_grandis,1.255,55,52.53,1.18
Eucalyptus_guilfoylei,E_guilfoylei,NA,40,NA,8.46
Eucalyptus_marginata,E_marginata,1.034375,15.70833333,46.894,12.55112815
Eucalyptus_melliodora,E_melliodora,1.3,30,NA,1
Eucalyptus_microcorys,E_microcorys,1,60,72.21,1.39
Eucalyptus_nitens,E_nitens,1.2,51.66666667,44.55666667,1.545733333
Eucalyptus_obliqua,E_obliqua,1.141264368,23.71875,43.7809375,5.399848056
Eucalyptus_patens,E_patens,1.01,12.91666667,47.62,12.17863
Eucalyptus_polybractea,E_polybractea,1.291818182,24.08333333,49.21666667,0.780937778
Eucalyptus_radiata,E_radiata,1.136666667,25.66666667,49.1,5.2753
Eucalyptus_regnans,E_regnans,1.1,51.66666667,40.555,5.006666667
Eucalyptus_saligna,E_saligna,1.2275,50,55.7175,1.60395
Eucalyptus_salmonophloia,E_salmonophloia,1.2824375,8.108080808,30.44195833,2.353391962
Eucalyptus_sieberi,E_sieberi,1.135,26.33333333,41.59333333,1.363022222
Eucalyptus_spathulata,E_spathulata,1.256495727,7.862179487,32.60078704,1.895230486
Eucalyptus_torquata,E_torquata,1.31183908,9.520833333,25.8242,1.567603333
Eucalyptus_umbra,E_umbra,1.07,25,NA,1.78074
Eucalyptus_verrucata,E_verrucata,1.135533333,24.1171875,40.94578125,5.144405316
