,alignment_name,accepted_name,coevol
1,Eucalyptus_goniocarpa_536,Eucalyptus_goniocarpa,E_goniocarpa
2,Eucalyptus_spathulata_subsp_spathulata_368,Eucalyptus_spathulata,E_spathulata
3,Eucalyptus_vegrandis_subsp_vegrandis_435,Eucalyptus_vegrandis,E_vegrandis
4,Eucalyptus_nutans_722,Eucalyptus_nutans,E_nutans
5,Eucalyptus_astringens_subsp_astringens_68,Eucalyptus_astringens,E_astringens
6,Eucalyptus_occidentalis_430,Eucalyptus_occidentalis,E_occidentalis
7,Eucalyptus_proxima_432,Eucalyptus_proxima,E_proxima
8,Eucalyptus_cernua_436,Eucalyptus_cernua,E_cernua
9,Eucalyptus_vesiculosa_87,Eucalyptus_vesiculosa,E_vesiculosa
10,Eucalyptus_loxophleba_subsp_loxophleba_ANBG_9205090,Eucalyptus_loxophleba,E_loxophleba
11,Eucalyptus_cerasiformis_CANB_586828,Eucalyptus_cerasiformis,E_cerasiformis
12,Eucalyptus_laeliae_337,Eucalyptus_laeliae,E_laeliae
13,Eucalyptus_accedens_346,Eucalyptus_accedens,E_accedens
14,Eucalyptus_stowardii_CANB_790458,Eucalyptus_stowardii,E_stowardii
15,Eucalyptus_diminuta_438,Eucalyptus_diminuta,E_diminuta
16,Eucalyptus_blaxellii_MC_11172,Eucalyptus_blaxellii,E_blaxellii
17,Eucalyptus_incerata_728,Eucalyptus_incerata,E_incerata
18,Eucalyptus_megacornuta_84,Eucalyptus_megacornuta,E_megacornuta
19,Eucalyptus_gomphocephala_357,Eucalyptus_gomphocephala,E_gomphocephala
20,Eucalyptus_aspratilis_AHT_E18,Eucalyptus_aspratilis,E_aspratilis
21,Eucalyptus_steedmanii_585,Eucalyptus_steedmanii,E_steedmanii
22,Eucalyptus_sargentii_subsp_sargentii_524,Eucalyptus_sargentii,E_sargentii
23,Eucalyptus_cylindriflora_CANB_794327,Eucalyptus_cylindriflora,E_cylindriflora
24,Eucalyptus_depauperata_CANB_794299,Eucalyptus_depauperata,E_depauperata
25,Eucalyptus_eremophila_CANB_794301,Eucalyptus_eremophila,E_eremophila
26,Eucalyptus_mimica_subsp_mimica_534,Eucalyptus_mimica,E_mimica
27,Eucalyptus_tenera_440,Eucalyptus_tenera,E_tenera
28,Eucalyptus_dielsii_74,Eucalyptus_dielsii,E_dielsii
29,Eucalyptus_suggrandis_subsp_suggrandis_82,Eucalyptus_suggrandis,E_suggrandis
30,Eucalyptus_mcquoidii_4,Eucalyptus_mcquoidii,E_mcquoidii
31,Eucalyptus_newbeyi_501,Eucalyptus_newbeyi,E_newbeyi
32,Eucalyptus_burdettiana_510,Eucalyptus_burdettiana,E_burdettiana
33,Eucalyptus_macrandra_153,Eucalyptus_macrandra,E_macrandra
34,Eucalyptus_cornuta_65,Eucalyptus_cornuta,E_cornuta
35,Eucalyptus_brevipes_CANB_692658,Eucalyptus_brevipes,E_brevipes
