species_height,accepted_name,max_height,unit,mallee,coevol
Angophora bakeri subsp. bakeri,Angophora_bakeri,20,m,N,A_bakeri
Angophora costata subsp. euryphylla,Angophora_costata,27.5,m,N,A_costata
Angophora costata subsp. leiocarpa,NA,25,m,N,NA
Angophora floribunda,Angophora_floribunda,30,m,N,A_floribunda
Angophora hispida,Angophora_hispida,8,m,N,A_hispida
Angophora inopina,Angophora_inopina,8,m,N,A_inopina
Angophora melanoxylon,Angophora_melanoxylon,15,m,N,A_melanoxylon
Angophora robur,Angophora_robur,10,m,N,A_robur
Angophora subvelutina,Angophora_subvelutina,20,m,N,A_subvelutina
Angophora woodsiana,Angophora_woodsiana,20,m,N,A_woodsiana
Corymbia abbreviata,Corymbia_abbreviata,7,m,N,C_abbreviata
Corymbia abergiana,Corymbia_abergiana,12,m,N,C_abergiana
Corymbia aparrerinja,Corymbia_aparrerinja,20,m,N,C_aparrerinja
Corymbia arafurica,Corymbia_arafurica,15,m,N,C_arafurica
Corymbia arenaria,Corymbia_arenaria,7,m,N,C_arenaria
Corymbia arnhemensis,Corymbia_arnhemensis,15,m,N,C_arnhemensis
Corymbia aspera,Corymbia_aspera,15,m,N,C_aspera
Corymbia aureola,Corymbia_aureola,15,m,N,C_aureola
Corymbia bella,Corymbia_bella,20,m,N,C_bella
Corymbia blakei,Corymbia_blakei,10,m,N,C_blakei
Corymbia bleeseri,Corymbia_bleeseri,20,m,N,C_bleeseri
Corymbia bloxsomei,Corymbia_bloxsomei,20,m,N,C_bloxsomei
Corymbia brachycarpa,Corymbia_brachycarpa,15,m,N,C_brachycarpa
Corymbia bunites,Corymbia_bunites,25,m,N,C_bunites
Corymbia cadophora subsp. pliantha,Corymbia_cadophora,6,m,N,C_cadophora
Corymbia calophylla,Corymbia_calophylla,40,m,S,C_calophylla
Corymbia candida,Corymbia_candida,10,m,N,C_candida
Corymbia chartacea,Corymbia_chartacea,8,m,N,C_chartacea
Corymbia chippendalei,Corymbia_chippendalei,10,m,S,C_chippendalei
Corymbia citriodora,Corymbia_citriodora,50,m,N,C_citriodora
