accepted_name,species_genome_size,Voucher specimen,Generalised location collected,Row,Tree (R.Gallagher sample tree in red),Year planted,1st budded,1st flowered,R.Gallagher samples,index,genome_size,CV sample,CV Solanum,fcm date,
Angophora melanoxylon,Angophora melanoxylon,DN 2552,"St George, QLD",173,"01,2,3,4",1999,,,Batch 4 collected 29.11.15,0.308,0.8,3.87,2.68,8/12/2015,
Angophora hispida,Angophora hispida,DN 6746,"St Ives, NSW",295,"08,9,10",2015,,,Batch 7 collected 30.1.16,0.317863954,0.82,3.15,2.31,8/02/2016,
Angophora costata subsp. euryphylla,Angophora costata subsp. euryphylla,DN 2082,"Broken Back Range, NSW",152,"01,2,3,4",1998,2004,2004,Batch 3 collected 22.11.15,0.318,0.82,4.15,2.57,27/11/2015,
Angophora floribunda,Angophora floribunda,DN 2551,"Roma, QLD",171,"15,16,17,18",1999,,,Batch 4 collected 29.11.15,0.321,0.83,4.7,2.46,10/12/2015,
Angophora leiocarpa,Angophora leiocarpa,DN 2103,"Karara, QLD",84,"05,6,7,8",1998,,,Batch 3 collected 22.11.15,0.322,0.83,2.97,2.56,30/11/2015,
Angophora subvelutina,Angophora subvelutina,DN 3204,"Mulgoa, NSW",239,"21,22,23,24",2001,2013,2013,Batch 1 collected 1.11.15,0.322,0.83,3.5,3.05,12/11/2015,
Corymbia calophylla,Corymbia calophylla,DN 3421,"Brookton, WA",237,"05,6,7,8",2001,2005,2006,Batch 1 collected 1.11.15,0.326,0.84,3.23,2.76,11/11/2015,
Angophora inopina,Angophora inopina,DN 6258,"Wyee, NSW",279,"05,6,7,8",2013,,,Batch 6 collected 10.1.16,0.326051516,0.84,3.91,2.72,19/01/2016,
Corymbia clandestina,Corymbia clandestina,DN 2541,"Drummond Range, QLD",173,"09,10",1999,,,Batch 4 collected 29.11.15,0.328,0.85,4.14,2.96,8/12/2015,
Corymbia trachyphloia,Corymbia trachyphloia subsp. amphistomatica ,DN 2084,"Gungal, NSW",84,"24,25,26,27",1998,2008,2008,Batch 3 collected 22.11.15,0.332,0.86,3.81,2.95,3/12/2015,
Angophora costata subsp. costata,Angophora costata subsp. costata,DN 2073,"Glenbrook, NSW",158,"09,10,11,12",1998,2005,2005,Batch 3 collected 22.11.15,0.333,0.86,3.59,2.74,1/12/2015,
Corymbia gummifera,Corymbia gummifera,DN 1228,"Ku-Ring-Gai Chase, NSW",93,"17,18",1996,,,Batch 3 collected 22.11.15,0.333,0.86,3.8,2.69,3/12/2015,
Corymbia trachyphloia,Corymbia trachyphloia subsp. trachyphloia,DN 5128,"Blencoe Falls, QLD",305,"11,12,13,14",2010,,,Batch 4 collected 29.11.15,0.335,0.87,4.42,3.06,11/12/2015,
Corymbia torelliana,Corymbia torelliana,,"Cultivated tree at Robina, QLD",209,"16,17,18,19",2006,,,Batch 2 collected 10.11.15,0.335,0.87,3.68,2.54,20/11/2015,
Corymbia terminalis,Corymbia terminalis,DN 2120,"Charleville, QLD",82,"03,4,5,6",1998,2013,2014,Batch 3 collected 22.11.15,0.335,0.87,3.7,2.56,27/11/2015,
Corymbia haematoxylon,Corymbia haematoxylon,DN 1147,"Busselton, WA",72,"31,32,33",1995,1999,2000,Batch 6 collected 10.1.16,0.335683115,0.87,4.14,3.91,21/01/2016,
Eucalyptus tenuipes,Eucalyptus tenuipes,DN 6475,"Barakula State Forest, QLD",241,1,2013,,,Batch 6 collected 10.1.16,0.335795836,0.87,6.32,2.62,21/01/2016,
Corymbia eremaea subsp. oligocarpa,Corymbia eremaea subsp. oligocarpa,DN 1208,"Mt Gillen, NT",66,"22,23,24",1995,2000,2000,Batch 5 collected 6.12.15,0.339,0.88,3.6,2.78,16/12/2015,
Corymbia scabrida,Corymbia scabrida,DN 1278,"Springsure, QLD",89,"11,12,13,14",1996,2001,2007,Batch 3 collected 22.11.15,0.339,0.88,3.21,2.09,30/11/2015,
Corymbia ficifolia,Corymbia ficifolia,DN 3761,"Mt Frankland, WA",238,"24,25,26,27",2001,2013,2013,Batch 1 collected 1.11.15,0.34,0.88,2.89,2.42,11/11/2015,
Corymbia pachycarpa,Corymbia pachycarpa,DN 1939,"Halls Creek, WA",301,"20,21,22,23",2010,,,Batch 7 collected 30.1.16,0.339904827,0.88,3.6,2.93,5/02/2016,
NA,Corymbia dimorpha,DN 2528,"Laroona, QLD",169,"08,9,10,11",1999,2011,,Batch 4 collected 29.11.15,0.341,0.88,4.59,2.73,9/12/2015,
NA,Corymbia capricornia,DN 4192,"Barkly Tableland, NT",305,"29,30,31",2010,,,Batch 4 collected 29.11.15,0.342,0.88,3.6,2.16,10/12/2015,
Corymbia eremaea subsp. eremaea,Corymbia eremaea subsp. eremaea,DN 1708,"Iltur, SA",135,"15,16,17",1997,,,Batch 3 collected 22.11.15,0.342,0.89,2.42,1.96,26/11/2015,
Corymbia petalophylla,Corymbia petalophylla,DN 1262,"Eldsvoid, QLD",89,"31,32,33",1996,2013,,Batch 3 collected 22.11.15,0.344,0.89,3.43,2.73,30/11/2015,
Corymbia deserticola subsp. deserticola,Corymbia deserticola subsp. deserticola,DN 542,"Kumarina Roadhouse, WA",83,"09,10,11",1998,,,Batch 3 collected 22.11.15,0.344,0.89,3.74,2.39,30/11/2015,
Corymbia eximia,Corymbia eximia,DN 632,"Wisemans Ferry, NSW",53,"21,22,23,24",1994,2000,2000,Batch 5 collected 6.12.15,0.344,0.89,3.33,2.63,16/12/2015,
Corymbia dichromophloia,Corymbia dichromophloia,DN 1928,"Gibb River, WA",303,"12,13",2010,,,Batch 4 collected 29.11.15,0.345,0.89,2.78,2.01,10/12/2015,
Corymbia serendipita,Corymbia serendipita,DN 2502,"Newcastle Range, QLD",302,"18,19,20,21",2010,,,Batch 4 collected 29.11.15,0.345,0.89,3.93,2.4,8/12/2015,
Corymbia ellipsoidea,Corymbia ellipsoidea,DN 5112,"Mt Garnet, QLD",304,"04,5,6,7",2010,,,Batch 4 collected 29.11.15,0.345,0.89,3.17,2.27,10/12/2015,
NA,Corymbia dolichocarpa,DN 2550,"Injune, QLD",303,"14,15",2010,,,Batch 4 collected 29.11.15,0.345,0.89,3.65,2.7,16/12/2015,
