species_height,accepted_name,coevol,mallee
Angophora bakeri subsp. bakeri,Angophora_bakeri,A_bakeri,N
Angophora costata subsp. euryphylla,Angophora_costata,A_costata,N
Angophora costata subsp. leiocarpa,NA,NA,N
Angophora floribunda,Angophora_floribunda,A_floribunda,N
Angophora hispida,Angophora_hispida,A_hispida,N
Angophora inopina,Angophora_inopina,A_inopina,N
Angophora melanoxylon,Angophora_melanoxylon,A_melanoxylon,N
Angophora robur,Angophora_robur,A_robur,N
Angophora subvelutina,Angophora_subvelutina,A_subvelutina,N
Angophora woodsiana,Angophora_woodsiana,A_woodsiana,N
Corymbia abbreviata,Corymbia_abbreviata,C_abbreviata,N
Corymbia abergiana,Corymbia_abergiana,C_abergiana,N
Corymbia aparrerinja,Corymbia_aparrerinja,C_aparrerinja,N
Corymbia arafurica,Corymbia_arafurica,C_arafurica,N
Corymbia arenaria,Corymbia_arenaria,C_arenaria,N
Corymbia arnhemensis,Corymbia_arnhemensis,C_arnhemensis,N
Corymbia aspera,Corymbia_aspera,C_aspera,N
Corymbia aureola,Corymbia_aureola,C_aureola,N
Corymbia bella,Corymbia_bella,C_bella,N
Corymbia blakei,Corymbia_blakei,C_blakei,N
Corymbia bleeseri,Corymbia_bleeseri,C_bleeseri,N
Corymbia bloxsomei,Corymbia_bloxsomei,C_bloxsomei,N
Corymbia brachycarpa,Corymbia_brachycarpa,C_brachycarpa,N
Corymbia bunites,Corymbia_bunites,C_bunites,N
Corymbia cadophora subsp. pliantha,Corymbia_cadophora,C_cadophora,N
Corymbia calophylla,Corymbia_calophylla,C_calophylla,S
Corymbia candida,Corymbia_candida,C_candida,N
Corymbia chartacea,Corymbia_chartacea,C_chartacea,N
Corymbia chippendalei,Corymbia_chippendalei,C_chippendalei,S
Corymbia citriodora,Corymbia_citriodora,C_citriodora,N
Corymbia clandestina,Corymbia_clandestina,C_clandestina,N
Corymbia clarksoniana,Corymbia_clarksoniana,C_clarksoniana,N
Corymbia clavigera,Corymbia_clavigera,C_clavigera,N
Corymbia cliftoniana,Corymbia_cliftoniana,C_cliftoniana,N
Corymbia collina,Corymbia_collina,C_collina,N
Corymbia confertiflora,Corymbia_confertiflora,C_confertiflora,N
Corymbia dallachiana,Corymbia_dallachiana,C_dallachiana,N
Corymbia dendromerinx,Corymbia_dendromerinx,C_dendromerinx,N
Corymbia deserticola subsp. mesogeotica,Corymbia_deserticola,C_deserticola,S
Corymbia dichromophloia,Corymbia_dichromophloia,C_dichromophloia,N
Corymbia disjuncta,Corymbia_disjuncta,C_disjuncta,N
Corymbia dunlopiana,Corymbia_dunlopiana,C_dunlopiana,N
Corymbia ellipsoidea,Corymbia_ellipsoidea,C_ellipsoidea,N
Corymbia eremaea,Corymbia_eremaea,C_eremaea,S
Corymbia erythrophloia,Corymbia_erythrophloia,C_erythrophloia,N
Corymbia eximia,Corymbia_eximia,C_eximia,N
Corymbia ferriticola,Corymbia_ferriticola,C_ferriticola,S
Corymbia ferruginea subsp. stypophylla,Corymbia_ferruginea,C_ferruginea,N
Corymbia ficifolia,Corymbia_ficifolia,C_ficifolia,N
Corymbia flavescens,Corymbia_flavescens,C_flavescens,N
Corymbia foelscheana,Corymbia_foelscheana,C_foelscheana,N
Corymbia gilbertensis,Corymbia_gilbertensis,C_gilbertensis,N
Corymbia grandifolia subsp. grandifolia,Corymbia_grandifolia,C_grandifolia,N
Corymbia greeniana,Corymbia_greeniana,C_greeniana,N
Corymbia gummifera,Corymbia_gummifera,C_gummifera,S
Corymbia haematoxylon,Corymbia_haematoxylon,C_haematoxylon,N
