accepted_name,coevol_name,mean_gs,mean_height,mean_SLA,mean_sm,genus
Angophora_bakeri,A_bakeri,NA,20,NA,7.91,Angophora
Angophora_costata,A_costata,0.84,27.5,51.535,10.1,Angophora
Angophora_floribunda,A_floribunda,0.83,30,68.36,13.6,Angophora
Angophora_hispida,A_hispida,0.82,8,NA,22.98,Angophora
Angophora_inopina,A_inopina,0.84,8,NA,12.16,Angophora
Angophora_leiocarpa,A_leiocarpa,0.83,NA,61.63,12.48,Angophora
Angophora_melanoxylon,A_melanoxylon,0.8,15,69.08,8.04,Angophora
Angophora_robur,A_robur,NA,10,NA,18.22,Angophora
Angophora_subvelutina,A_subvelutina,0.83,20,NA,7.27,Angophora
Angophora_woodsiana,A_woodsiana,NA,20,NA,26.8,Angophora
Corymbia_abbreviata,C_abbreviata,NA,7,NA,38.4,Corymbia
Corymbia_abergiana,C_abergiana,0.91,12,34.51,NA,Corymbia
Corymbia_aparrerinja,C_aparrerinja,0.98,20,NA,NA,Corymbia
Corymbia_arafurica,C_arafurica,NA,15,NA,NA,Corymbia
Corymbia_arenaria,C_arenaria,NA,7,NA,NA,Corymbia
Corymbia_arnhemensis,C_arnhemensis,NA,15,NA,NA,Corymbia
Corymbia_aspera,C_aspera,NA,15,NA,NA,Corymbia
Corymbia_aureola,C_aureola,0.9,15,44.71,NA,Corymbia
Corymbia_bella,C_bella,0.92,20,NA,NA,Corymbia
Corymbia_blakei,C_blakei,NA,10,NA,NA,Corymbia
Corymbia_bleeseri,C_bleeseri,NA,20,NA,28.57,Corymbia
Corymbia_bloxsomei,C_bloxsomei,0.9,20,50.38,13.15,Corymbia
Corymbia_brachycarpa,C_brachycarpa,0.91,15,NA,NA,Corymbia
Corymbia_bunites,C_bunites,0.93,25,56.34,NA,Corymbia
Corymbia_cadophora,C_cadophora,0.9,6,NA,NA,Corymbia
Corymbia_calophylla,C_calophylla,0.84,40,50.405,NA,Corymbia
Corymbia_candida,C_candida,NA,10,42.08,NA,Corymbia
Corymbia_catenaria,C_catenaria,NA,NA,49.68,NA,Corymbia
Corymbia_chartacea,C_chartacea,NA,8,NA,NA,Corymbia
Corymbia_chippendalei,C_chippendalei,NA,10,NA,NA,Corymbia
