Sample (Bag),accepted_name,species,dry mass (g),dry mass (g),dry mass (g),Area mm2,Area mm2,Area mm2,SLA cm2/g,SLA cm2/g,SLA cm2/g,mean_SLA,CV SLA,Mean Mass,Mean Area,
,,,1,2,3,1,2,3,1,2,3,,,,,
1,Eucalyptus falcata var. ecostata,Eucalyptus falcata subsp. ecostata,0.1363,0.1516,0.3359,594,611,984,43.58,40.3,29.29,37.72,19.83,0.208,730,
2,Eucalyptus lehmannii subsp. parallela,Eucalyptus lehmannii subsp. parallela,0.2121,0.1459,0.1424,758,583,623,35.73,39.99,43.72,39.81,10.05,0.167,655,
3,Eucalyptus albopurpurea,Eucalyptus albopurpurea,0.652,0.5233,0.6012,1907,1697,1723,29.25,32.43,28.66,30.11,6.73,0.592,1776,
4,Eucalyptus mcquoidii,Eucalyptus mcquoidii,0.0692,0.0739,0.0596,345,362,286,49.86,49,47.99,48.95,1.91,0.068,331,
5,Eucalyptus conglobata subsp. conglobata,Eucalyptus conglobata subsp. conglobata (crassa),0.493,0.4438,0.4114,1366,1548,1418,27.7,34.89,34.46,32.35,12.46,0.449,1444,
6,Eucalyptus cuspidata,Eucalyptus cuspidata,1.0406,1.7952,,2613,3459,,25.11,19.27,,22.19,18.63,1.418,3036,
7,Eucalyptus corrugata,Eucalyptus corrugata,0.2981,0.5713,0.5261,574,1377,1257,19.26,24.1,23.89,22.42,12.19,0.465,1069,
8,Eucalyptus pterocarpa,Eucalyptus pterocarpa,0.5466,0.4931,0.4398,1651,1307,1096,30.21,26.5,24.92,27.21,9.98,0.493,1351,
9,Eucalyptus laevis,Eucalyptus laevis,0.5634,0.2148,0.3751,1543,688,1070,27.39,32.03,28.53,29.31,8.25,0.384,1100,
10,Eucalyptus distuberosa subsp. aerata,Eucalyptus distuberosa subsp. aerata,0.5479,0.22,0.25,1016,443,533,18.54,20.12,21.34,20,7.01,0.339,664,
11,Eucalyptus frenchiana,Eucalyptus frenchiana,0.5982,0.5877,0.6795,1178,1146,1377,19.69,19.5,20.26,19.82,2.01,0.622,1234,
12,Eucalyptus histophylla,Eucalyptus histophylla,0.3281,0.3181,0.2095,676,668,450,20.61,21,21.47,21.03,2.05,0.285,598,
13,Eucalyptus fraseri subsp. melanobasis,Eucalyptus fraseri subsp. melanbasis,0.7626,1.2074,0.7143,1287,2322,1397,16.88,19.23,19.56,18.56,7.88,0.895,1669,
14,Eucalyptus protensa,Eucalyptus protensa,0.2584,0.1819,0.2629,831,547,810,32.16,30.07,30.81,31.01,3.42,0.234,729,
15,Eucalyptus griffithsii,Eucalyptus griffithsii,0.2921,0.3461,0.4467,901,939,972,30.85,27.14,21.76,26.58,17.19,0.362,937,
16,Eucalyptus jimberlanica,Eucalyptus jimberlanica,0.4746,0.4335,0.7835,1349,1180,2082,28.43,27.22,26.57,27.41,3.45,0.564,1537,
17,Eucalyptus pileata,Eucalyptus pileata,0.3273,0.195,0.1237,911,552,391,27.83,28.3,31.64,29.25,7.1,0.215,618,
18,Eucalyptus stricklandii,Eucalyptus stricklandii,1.2423,1.1269,,2972,2570,,23.93,22.81,,23.37,3.38,1.185,2771,
19,Eucalyptus erythronema,Eucalyptus erythronema var erythronema,0.3255,0.366,0.168,747,789,415,22.94,21.56,24.7,23.07,6.83,0.287,650,
20,NA,Eucalyptus leptophylla var floribunda,0.155,0.1595,0.1219,578,526,375,37.31,32.98,30.76,33.68,9.89,0.145,493,
21,Eucalyptus wandoo,Eucalyptus wandoo subsp. wandoo,0.1322,0.1891,0.1831,417,501,513,31.56,26.49,28.02,28.69,9.05,0.168,477,
22,Eucalyptus polita,Eucalyptus polita,0.3063,0.6159,0.8535,921,1411,1902,30.08,22.9,22.29,25.09,17.27,0.592,1411,
23,Eucalyptus aequioperta,Eucalyptus aequioperta,0.4978,0.3175,0.418,1352,940,1105,27.15,29.62,26.43,27.73,6.04,0.411,1132,
24,NA,Eucalyptus subangusta subsp. virescens,0.1492,0.1947,0.1651,569,552,,38.15,28.34,,33.24,20.86,0.17,560,
25,Eucalyptus pileata,Eucalyptus pileata SA,0.2035,0.1509,0.1924,669,494,595,32.86,32.73,30.95,32.18,3.31,0.182,586,
26,Eucalyptus salubris,Eucalyptus salubris,0.2027,0.2459,0.3254,997,955,1175,49.19,38.83,36.11,41.37,16.68,0.258,1042,
27,NA,Eucalyptus aff. Ridigula (Kalbarri broad seedlings),0.3015,0.1331,0.1753,828,430,598,27.47,32.34,34.1,31.3,10.97,0.203,619,
